graph_id,n,h,beta,K,variant,log_Z
n16_graph2,16,0.0,1,3,exact,22.232802
n16_graph2,16,0.0,1,4,asym,22.568903
n16_graph2,16,0.0,1,4,exact,23.102807
n16_graph2,16,0.0,1,5,asym,23.298854
n16_graph2,16,0.0,1,5,exact,23.559026
n16_graph2,16,0.0,1,6,asym,24.249582
n16_graph2,16,0.0,1,6,exact,24.509755
n16_graph2,16,0.0,1.3,3,asym,28.033798
n16_graph2,16,0.0,1.3,3,exact,28.363550
n16_graph2,16,0.0,1.3,4,asym,28.912121
n16_graph2,16,0.0,1.3,4,exact,29.681034
n16_graph2,16,0.0,1.3,5,asym,30.156171
n16_graph2,16,0.0,1.3,5,exact,30.458565
n16_graph2,16,0.0,1.3,6,asym,31.986589
n16_graph2,16,0.0,1.3,6,exact,32.288983
n16_graph2,16,0.0,1.8,3,asym,39.121144
n16_graph2,16,0.0,1.8,3,exact,39.530819
n16_graph2,16,0.0,1.8,4,asym,40.300721
n16_graph2,16,0.0,1.8,4,exact,41.300186
n16_graph2,16,0.0,1.8,5,asym,42.111290
n16_graph2,16,0.0,1.8,5,exact,42.431791
n16_graph2,16,0.0,1.8,6,asym,45.004887
n16_graph2,16,0.0,1.8,6,exact,45.325388
n16_graph2,16,0.0,2.5,3,asym,55.513507
n16_graph2,16,0.0,2.5,3,exact,55.962266
n16_graph2,16,0.0,2.5,4,asym,56.846624
n16_graph2,16,0.0,2.5,4,exact,57.961940
n16_graph2,16,0.0,2.5,5,asym,58.958702
n16_graph2,16,0.0,2.5,5,exact,59.281989
n16_graph2,16,0.0,2.5,6,asym,62.444226
n16_graph2,16,0.0,2.5,6,exact,62.767513
n16_graph2,16,0.0,5,3,asym,115.379927
n16_graph2,16,0.0,5,3,exact,115.841934
n16_graph2,16,0.0,5,4,asym,116.765858
n16_graph2,16,0.0,5,4,exact,117.920831
n16_graph2,16,0.0,5,5,asym,118.983203
n16_graph2,16,0.0,5,5,exact,119.306671
n16_graph2,16,0.0,5,6,asym,122.678535
n16_graph2,16,0.0,5,6,exact,123.002004
n16_graph3,16,0.0,0.1,3,asym,11.211475
n16_graph3,16,0.0,0.1,3,exact,11.212135
n16_graph3,16,0.0,0.1,4,asym,11.211672
n16_graph3,16,0.0,0.1,4,exact,11.212529
n16_graph3,16,0.0,0.1,5,asym,11.211704
n16_graph3,16,0.0,0.1,5,exact,11.212569
n16_graph3,16,0.0,0.1,6,asym,11.211709
n16_graph3,16,0.0,0.1,6,exact,11.212574
n16_graph3,16,0.0,0.2,3,asym,11.577402
n16_graph3,16,0.0,0.2,3,exact,11.582508
n16_graph3,16,0.0,0.2,4,asym,11.580435
n16_graph3,16,0.0,0.2,4,exact,11.588574
n16_graph3,16,0.0,0.2,5,asym,11.581393
n16_graph3,16,0.0,0.2,5,exact,11.589772
n16_graph3,16,0.0,0.2,6,asym,11.581708
n16_graph3,16,0.0,0.2,6,exact,11.590087
n16_graph3,16,0.0,0.3,3,asym,12.187095
n16_graph3,16,0.0,0.3,3,exact,12.203375
n16_graph3,16,0.0,0.3,4,asym,12.201447
n16_graph3,16,0.0,0.3,4,exact,12.232079
n16_graph3,16,0.0,0.3,5,asym,12.208153
n16_graph3,16,0.0,0.3,5,exact,12.240462
n16_graph3,16,0.0,0.3,6,asym,12.211412
n16_graph3,16,0.0,0.3,6,exact,12.243721
n16_graph3,16,0.0,0.5,3,asym,14.098590
n16_graph3,16,0.0,0.5,3,exact,14.161333
n16_graph3,16,0.0,0.5,4,asym,14.187780
n16_graph3,16,0.0,0.5,4,exact,14.339714
n16_graph3,16,0.0,0.5,5,asym,14.254518
n16_graph3,16,0.0,0.5,5,exact,14.423137
n16_graph3,16,0.0,0.5,6,asym,14.306208
n16_graph3,16,0.0,0.5,6,exact,14.474827
n16_graph3,16,0.0,0.8,3,asym,18.410858
n16_graph3,16,0.0,0.8,3,exact,18.582067
n16_graph3,16,0.0,0.8,4,asym,18.766200
n16_graph3,16,0.0,0.8,4,exact,19.292751
n16_graph3,16,0.0,0.8,5,asym,19.154776
n16_graph3,16,0.0,0.8,5,exact,19.778471
n16_graph3,16,0.0,0.8,6,asym,19.593475
n16_graph3,16,0.0,0.8,6,exact,20.217170
n16_graph3,16,0.0,1,3,asym,21.988900
n16_graph3,16,0.0,1,3,exact,22.232802
n16_graph3,16,0.0,1,4,asym,22.568903
n16_graph3,16,0.0,1,4,exact,23.392809
n16_graph3,16,0.0,1,5,asym,23.298854
n16_graph3,16,0.0,1,5,exact,24.305247
n16_graph3,16,0.0,1,6,asym,24.249582
n16_graph3,16,0.0,1,6,exact,25.255975
n16_graph3,16,0.0,1.3,3,asym,28.033798
n16_graph3,16,0.0,1.3,3,exact,28.363550
n16_graph3,16,0.0,1.3,4,asym,28.912121
n16_graph3,16,0.0,1.3,4,exact,30.120195
n16_graph3,16,0.0,1.3,5,asym,30.156171
n16_graph3,16,0.0,1.3,5,exact,31.675258
n16_graph3,16,0.0,1.3,6,asym,31.986589
n16_graph3,16,0.0,1.3,6,exact,33.505676
n16_graph3,16,0.0,1.8,3,asym,39.121144
n16_graph3,16,0.0,1.8,3,exact,39.530819
n16_graph3,16,0.0,1.8,4,asym,40.300721
n16_graph3,16,0.0,1.8,4,exact,41.889975
n16_graph3,16,0.0,1.8,5,asym,42.111290
n16_graph3,16,0.0,1.8,5,exact,44.153185
n16_graph3,16,0.0,1.8,6,asym,45.004887
n16_graph3,16,0.0,1.8,6,exact,47.046782
n16_graph3,16,0.0,2.5,3,asym,55.513507
n16_graph3,16,0.0,2.5,3,exact,55.962266
n16_graph3,16,0.0,2.5,4,asym,56.846624
n16_graph3,16,0.0,2.5,4,exact,58.628498
n16_graph3,16,0.0,2.5,5,asym,58.958702
n16_graph3,16,0.0,2.5,5,exact,61.268596
n16_graph3,16,0.0,2.5,6,asym,62.444226
n16_graph3,16,0.0,2.5,6,exact,64.754120
n16_graph3,16,0.0,5,3,asym,115.379927
n16_graph3,16,0.0,5,3,exact,115.841934
n16_graph3,16,0.0,5,4,asym,116.765858
n16_graph3,16,0.0,5,4,exact,118.613796
n16_graph3,16,0.0,5,5,asym,118.983203
n16_graph3,16,0.0,5,5,exact,121.385477
n16_graph3,16,0.0,5,6,asym,122.678535
n16_graph3,16,0.0,5,6,exact,125.080810
n30_graph0,30,0.0,0.1,3,asym,21.020361
n30_graph0,30,0.0,0.1,3,exact,21.022010
n30_graph0,30,0.0,0.1,4,asym,21.020558
n30_graph0,30,0.0,0.1,4,exact,21.022208
n30_graph0,30,0.0,0.1,5,asym,21.020590
n30_graph0,30,0.0,0.1,5,exact,21.022217
n30_graph0,30,0.0,0.1,6,asym,21.020595
n30_graph0,30,0.0,0.1,6,exact,21.022223
n30_graph0,30,0.0,0.1,7,asym,21.020596
n30_graph0,30,0.0,0.1,7,exact,21.022223
n30_graph0,30,0.0,0.2,3,asym,21.698692
n30_graph0,30,0.0,0.2,3,exact,21.711458
n30_graph0,30,0.0,0.2,4,asym,21.701725
n30_graph0,30,0.0,0.2,4,exact,21.714491
n30_graph0,30,0.0,0.2,5,asym,21.702683
n30_graph0,30,0.0,0.2,5,exact,21.714790
n30_graph0,30,0.0,0.2,6,asym,21.702998
n30_graph0,30,0.0,0.2,6,exact,21.715106
n30_graph0,30,0.0,0.2,7,asym,21.703105
n30_graph0,30,0.0,0.2,7,exact,21.715212
n30_graph0,30,0.0,0.3,3,asym,22.822311
n30_graph0,30,0.0,0.3,3,exact,22.863013
n30_graph0,30,0.0,0.3,4,asym,22.836663
n30_graph0,30,0.0,0.3,4,exact,22.877365
n30_graph0,30,0.0,0.3,5,asym,22.843370
n30_graph0,30,0.0,0.3,5,exact,22.879461
n30_graph0,30,0.0,0.3,6,asym,22.846628
n30_graph0,30,0.0,0.3,6,exact,22.882719
n30_graph0,30,0.0,0.3,7,asym,22.848256
n30_graph0,30,0.0,0.3,7,exact,22.884347
n30_graph0,30,0.0,0.5,3,asym,26.325055
n30_graph0,30,0.0,0.5,3,exact,26.481913
n30_graph0,30,0.0,0.5,4,asym,26.414246
n30_graph0,30,0.0,0.5,4,exact,26.571104
n30_graph0,30,0.0,0.5,5,asym,26.480984
n30_graph0,30,0.0,0.5,5,exact,26.591960
n30_graph0,30,0.0,0.5,6,asym,26.532673
n30_graph0,30,0.0,0.5,6,exact,26.643649
n30_graph0,30,0.0,0.5,7,asym,26.573729
n30_graph0,30,0.0,0.5,7,exact,26.684705
n30_graph0,30,0.0,0.8,3,asym,34.220743
n30_graph0,30,0.0,0.8,3,exact,34.648765
n30_graph0,30,0.0,0.8,4,asym,34.576085
n30_graph0,30,0.0,0.8,4,exact,35.004107
n30_graph0,30,0.0,0.8,5,asym,34.964661
n30_graph0,30,0.0,0.8,5,exact,35.125537
n30_graph0,30,0.0,0.8,6,asym,35.403361
n30_graph0,30,0.0,0.8,6,exact,35.564237
n30_graph0,30,0.0,0.8,7,asym,35.909591
n30_graph0,30,0.0,0.8,7,exact,36.070467
n30_graph0,30,0.0,1,3,asym,40.802358
n30_graph0,30,0.0,1,3,exact,41.412114
n30_graph0,30,0.0,1,4,asym,41.382361
n30_graph0,30,0.0,1,4,exact,41.992117
n30_graph0,30,0.0,1,5,asym,42.112312
n30_graph0,30,0.0,1,5,exact,42.220227
n30_graph0,30,0.0,1,6,asym,43.063040
n30_graph0,30,0.0,1,6,exact,43.170955
n30_graph0,30,0.0,1,7,asym,44.329853
n30_graph0,30,0.0,1,7,exact,44.437768
n30_graph0,30,0.0,1.3,3,asym,51.986307
n30_graph0,30,0.0,1.3,3,exact,52.810685
n30_graph0,30,0.0,1.3,4,asym,52.864629
n30_graph0,30,0.0,1.3,4,exact,53.689008
n30_graph0,30,0.0,1.3,5,asym,54.108679
n30_graph0,30,0.0,1.3,5,exact,54.077774
n30_graph0,30,0.0,1.3,6,asym,55.939097
n30_graph0,30,0.0,1.3,6,exact,55.908192
n30_graph0,30,0.0,1.3,7,asym,58.702105
n30_graph0,30,0.0,1.3,7,exact,58.671200
n30_graph0,30,0.0,1.8,3,asym,72.635212
n30_graph0,30,0.0,1.8,3,exact,73.659401
n30_graph0,30,0.0,1.8,4,asym,73.814790
n30_graph0,30,0.0,1.8,4,exact,74.838979
n30_graph0,30,0.0,1.8,5,asym,75.625358
n30_graph0,30,0.0,1.8,5,exact,75.404781
n30_graph0,30,0.0,1.8,6,asym,78.518955
n30_graph0,30,0.0,1.8,6,exact,78.298378
n30_graph0,30,0.0,1.8,7,asym,83.273455
n30_graph0,30,0.0,1.8,7,exact,83.052878
n30_graph0,30,0.0,2.5,3,asym,103.302499
n30_graph0,30,0.0,2.5,3,exact,104.424395
n30_graph0,30,0.0,2.5,4,asym,104.635616
n30_graph0,30,0.0,2.5,4,exact,105.757511
n30_graph0,30,0.0,2.5,5,asym,106.747694
n30_graph0,30,0.0,2.5,5,exact,106.417536
n30_graph0,30,0.0,2.5,6,asym,110.233218
n30_graph0,30,0.0,2.5,6,exact,109.903060
n30_graph0,30,0.0,2.5,7,asym,116.149495
n30_graph0,30,0.0,2.5,7,exact,115.819337
n30_graph0,30,0.0,5,3,asym,215.528850
n30_graph0,30,0.0,5,3,exact,216.683868
n30_graph0,30,0.0,5,4,asym,216.914781
n30_graph0,30,0.0,5,4,exact,218.069799
n30_graph0,30,0.0,5,5,asym,219.132126
n30_graph0,30,0.0,5,5,exact,218.762720
n30_graph0,30,0.0,5,6,asym,222.827458
n30_graph0,30,0.0,5,6,exact,222.458052
n30_graph0,30,0.0,5,7,asym,229.161899
n30_graph0,30,0.0,5,7,exact,228.792492
n30_graph1,30,0.0,0.1,3,asym,21.020361
n30_graph1,30,0.0,0.1,3,exact,21.020031
n30_graph1,30,0.0,0.1,4,asym,21.020558
n30_graph1,30,0.0,0.1,4,exact,21.020130
n30_graph1,30,0.0,0.1,5,asym,21.020590
