graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,1.2,7,29.072720
n16_graph0,16,0.0,ground,glauber,1.2,12,29.306043
n16_graph0,16,0.0,ground,glauber,1.2,20,28.595595
n16_graph0,16,0.0,ground,glauber,1.2,33,28.876801
n16_graph0,16,0.0,ground,glauber,1.2,54,29.041840
n16_graph0,16,0.0,ground,glauber,1.2,90,28.404329
n16_graph0,16,0.0,ground,glauber,1.2,148,28.648873
n16_graph0,16,0.0,ground,glauber,1.2,245,28.836198
n16_graph0,16,0.0,ground,glauber,1.2,404,29.414319
n16_graph0,16,0.0,ground,glauber,1.2,667,29.456113
n16_graph0,16,0.0,ground,glauber,1.2,1101,29.635009
n16_graph0,16,0.0,ground,glauber,1.2,1816,29.538124
n16_graph0,16,0.0,ground,glauber,1.2,2995,29.602020
n16_graph0,16,0.0,ground,glauber,1.2,4939,29.579861
n16_graph0,16,0.0,ground,glauber,1.2,8146,29.518807
n16_graph0,16,0.0,ground,glauber,1.2,13435,29.490299
n16_graph0,16,0.0,ground,glauber,1.2,22158,29.456673
n16_graph0,16,0.0,ground,glauber,1.2,36543,29.595984
n16_graph0,16,0.0,ground,glauber,1.2,60268,29.569655
n16_graph0,16,0.0,ground,glauber,1.2,99395,29.545816
n16_graph0,16,0.0,ground,glauber,1.2,163925,29.540177
n16_graph0,16,0.0,ground,glauber,1.2,270347,29.526663
n16_graph0,16,0.0,ground,glauber,1.2,445860,29.530304
n16_graph0,16,0.0,ground,glauber,1.2,735319,29.534710
n16_graph0,16,0.0,ground,glauber,1.2,1212699,29.515302
n16_graph0,16,0.0,ground,glauber,1.2,2000000,29.511258
n16_graph0,16,0.0,ground,glauber,1.3,1,30.690355
n16_graph0,16,0.0,ground,glauber,1.3,2,30.700338
n16_graph0,16,0.0,ground,glauber,1.3,4,30.769832
n16_graph0,16,0.0,ground,glauber,1.3,7,31.472720
n16_graph0,16,0.0,ground,glauber,1.3,12,31.706043
n16_graph0,16,0.0,ground,glauber,1.3,20,30.995595
n16_graph0,16,0.0,ground,glauber,1.3,33,31.276801
n16_graph0,16,0.0,ground,glauber,1.3,54,31.441840
