graph_id,n,h,h_eff,beta,method,m,log_Z,log_Z_exact,rel_err,error_bound,runtime_s
n16_graph0,16,0.1,0.1,0.8,naive,8,20.650684,20.735684,4.099220e-03,2.848747e+00,0.0327
n16_graph0,16,0.1,0.1,0.8,naive,10,20.653969,20.735684,3.940798e-03,1.692503e+00,0.0521
n16_graph0,16,0.1,0.1,1.0,naive,2,25.637736,25.683807,1.793765e-03,1.614723e+01,0.0002
n16_graph0,16,0.1,0.1,1.0,naive,4,25.641121,25.683807,1.661970e-03,6.494285e+00,0.0015
n16_graph0,16,0.1,0.1,1.0,naive,6,25.641851,25.683807,1.633540e-03,3.109464e+00,0.0133
n16_graph0,16,0.1,0.1,1.0,naive,8,25.642262,25.683807,1.617533e-03,1.621150e+00,0.0334
n16_graph0,16,0.1,0.1,1.0,naive,10,25.642548,25.683807,1.606393e-03,8.891096e-01,0.0531
n16_graph0,16,0.1,0.1,1.3,naive,2,33.285486,33.301405,4.780384e-04,1.067853e+01,0.0002
n16_graph0,16,0.1,0.1,1.3,naive,4,33.285778,33.301405,4.692587e-04,3.809163e+00,0.0017
n16_graph0,16,0.1,0.1,1.3,naive,6,33.285807,33.301405,4.683806e-04,1.617590e+00,0.0130
n16_graph0,16,0.1,0.1,1.3,naive,8,33.285822,33.301405,4.679392e-04,7.479813e-01,0.0324
n16_graph0,16,0.1,0.1,1.3,naive,10,33.285831,33.301405,4.676724e-04,3.638375e-01,0.0516
n16_graph0,16,0.1,0.1,1.8,naive,2,46.080234,46.083390,6.847000e-05,5.990851e+00,0.0002
n16_graph0,16,0.1,0.1,1.8,naive,4,46.080242,46.083390,6.830012e-05,1.749636e+00,0.0016
n16_graph0,16,0.1,0.1,1.8,naive,6,46.080242,46.083390,6.829605e-05,6.083138e-01,0.0122
n16_graph0,16,0.1,0.1,1.8,naive,8,46.080242,46.083390,6.829426e-05,2.302985e-01,0.0315
n16_graph0,16,0.1,0.1,1.8,naive,10,46.080242,46.083390,6.829339e-05,9.171682e-02,0.0508
n16_graph0,16,0.1,0.1,2.5,naive,2,64.000003,64.000338,5.241827e-06,3.024448e+00,0.0002
n16_graph0,16,0.1,0.1,2.5,naive,4,64.000003,64.000338,5.240737e-06,6.675793e-01,0.0016
n16_graph0,16,0.1,0.1,2.5,naive,6,64.000003,64.000338,5.240733e-06,1.754205e-01,0.0128
n16_graph0,16,0.1,0.1,2.5,naive,8,64.000003,64.000338,5.240732e-06,5.019280e-02,0.0330
n16_graph0,16,0.1,0.1,2.5,naive,10,64.000003,64.000338,5.240731e-06,1.510764e-02,0.0531
n16_graph0,16,0.1,0.1,5.0,naive,2,128.000000,128.000000,8.791812e-10,4.200639e-01,0.0002
n16_graph0,16,0.1,0.1,5.0,naive,4,128.000000,128.000000,8.791809e-10,3.410968e-02,0.0017
n16_graph0,16,0.1,0.1,5.0,naive,6,128.000000,128.000000,8.791809e-10,3.297317e-03,0.0126
n16_graph0,16,0.1,0.1,5.0,naive,8,128.000000,128.000000,8.791809e-10,3.470781e-04,0.0320
n16_graph0,16,0.1,0.1,5.0,naive,10,128.000000,128.000000,8.791809e-10,3.843157e-05,0.0503
n16_graph0,16,0.2,0.2,0.1,naive,2,12.214275,11.215788,8.902511e-02,1.206369e+02,0.0002
n16_graph0,16,0.2,0.2,0.1,naive,4,10.865864,11.215788,3.119930e-02,6.681716e+01,0.0016
n16_graph0,16,0.2,0.2,0.1,naive,6,11.375847,11.215788,1.427082e-02,4.405715e+01,0.0128
n16_graph0,16,0.2,0.2,0.1,naive,8,11.124847,11.215788,8.108357e-03,3.163213e+01,0.0329
n16_graph0,16,0.2,0.2,0.1,naive,10,11.268908,11.215788,4.736198e-03,2.389102e+01,0.0518
n16_graph0,16,0.2,0.2,0.2,naive,2,11.543922,11.604856,5.250751e-03,5.456750e+01,0.0002
n16_graph0,16,0.2,0.2,0.2,naive,4,11.889074,11.604856,2.449128e-02,2.789961e+01,0.0016
n16_graph0,16,0.2,0.2,0.2,naive,6,11.531133,11.604856,6.352815e-03,1.698177e+01,0.0122
n16_graph0,16,0.2,0.2,0.2,naive,8,11.548199,11.604856,4.882146e-03,1.125515e+01,0.0318
n16_graph0,16,0.2,0.2,0.2,naive,10,11.652759,11.604856,4.127861e-03,7.847189e+00,0.0507
n16_graph0,16,0.2,0.2,0.3,naive,2,11.530587,12.293323,6.204476e-02,3.290551e+01,0.0002
n16_graph0,16,0.2,0.2,0.3,naive,4,12.296542,12.293323,2.618421e-04,1.553063e+01,0.0016
n16_graph0,16,0.2,0.2,0.3,naive,6,12.416847,12.293323,1.004803e-02,8.726306e+00,0.0126
n16_graph0,16,0.2,0.2,0.3,naive,8,12.350571,12.293323,4.656859e-03,5.338943e+00,0.0316
n16_graph0,16,0.2,0.2,0.3,naive,10,12.282113,12.293323,9.118541e-04,3.436169e+00,0.0499
n16_graph0,16,0.2,0.2,0.5,naive,2,14.493682,14.902829,2.745437e-02,1.614723e+01,0.0002
n16_graph0,16,0.2,0.2,0.5,naive,4,14.701233,14.902829,1.352741e-02,6.494285e+00,0.0015
n16_graph0,16,0.2,0.2,0.5,naive,6,14.789936,14.902829,7.575308e-03,3.109464e+00,0.0129
n16_graph0,16,0.2,0.2,0.5,naive,8,14.839804,14.902829,4.229078e-03,1.621150e+00,0.0326
n16_graph0,16,0.2,0.2,0.5,naive,10,14.870087,14.902829,2.197035e-03,8.891096e-01,0.0515
n16_graph0,16,0.2,0.2,0.8,naive,2,21.875501,21.899658,1.103106e-03,7.456959e+00,0.0002
n16_graph0,16,0.2,0.2,0.8,naive,4,21.887291,21.899658,5.647450e-04,2.359199e+00,0.0015
n16_graph0,16,0.2,0.2,0.8,naive,6,21.890130,21.899658,4.350637e-04,8.885626e-01,0.0127
n16_graph0,16,0.2,0.2,0.8,naive,8,21.891425,21.899658,3.759677e-04,3.644140e-01,0.0321
n16_graph0,16,0.2,0.2,0.8,naive,10,21.892145,21.899658,3.430906e-04,1.572159e-01,0.0516
n16_graph0,16,0.2,0.2,1.0,naive,2,27.230114,27.234048,1.444341e-04,4.872511e+00,0.0002
n16_graph0,16,0.2,0.2,1.0,naive,4,27.231876,27.234048,7.975257e-05,1.313616e+00,0.0016
n16_graph0,16,0.2,0.2,1.0,naive,6,27.232122,27.234048,7.070036e-05,4.216041e-01,0.0125
n16_graph0,16,0.2,0.2,1.0,naive,8,27.232214,27.234048,6.732736e-05,1.473414e-01,0.0316
n16_graph0,16,0.2,0.2,1.0,naive,10,27.232257,27.234048,6.575818e-05,5.416753e-02,0.0504
n16_graph0,16,0.2,0.2,1.3,naive,2,35.364154,35.364538,1.087163e-05,2.763952e+00,0.0002
n16_graph0,16,0.2,0.2,1.3,naive,4,35.364282,35.364538,7.256055e-06,5.861590e-01,0.0015
n16_graph0,16,0.2,0.2,1.3,naive,6,35.364289,35.364538,7.057666e-06,1.479862e-01,0.0135
n16_graph0,16,0.2,0.2,1.3,naive,8,35.364291,35.364538,6.999637e-06,4.068276e-02,0.0334
n16_graph0,16,0.2,0.2,1.3,naive,10,35.364291,35.364538,6.978819e-06,1.176506e-02,0.0528
n16_graph0,16,0.2,0.2,1.8,naive,2,48.960162,48.960175,2.564953e-07,1.198383e+00,0.0002
n16_graph0,16,0.2,0.2,1.8,naive,4,48.960165,48.960175,2.035977e-07,1.703581e-01,0.0016
n16_graph0,16,0.2,0.2,1.8,naive,6,48.960165,48.960175,2.030991e-07,2.883040e-02,0.0122
n16_graph0,16,0.2,0.2,1.8,naive,8,48.960165,48.960175,2.029953e-07,5.312784e-03,0.0315
n16_graph0,16,0.2,0.2,1.8,naive,10,48.960165,48.960175,2.029706e-07,1.029883e-03,0.0506
n16_graph0,16,0.2,0.2,2.5,naive,2,68.000002,68.000002,1.882372e-09,4.200639e-01,0.0002
n16_graph0,16,0.2,0.2,2.5,naive,4,68.000002,68.000002,1.655167e-09,3.410968e-02,0.0016
n16_graph0,16,0.2,0.2,2.5,naive,6,68.000002,68.000002,1.654986e-09,3.297317e-03,0.0128
n16_graph0,16,0.2,0.2,2.5,naive,8,68.000002,68.000002,1.654963e-09,3.470781e-04,0.0321
n16_graph0,16,0.2,0.2,2.5,naive,10,68.000002,68.000002,1.654960e-09,3.843157e-05,0.0513
n16_graph0,16,0.2,0.2,5.0,naive,2,136.000000,136.000000,2.089832e-16,1.528918e-02,0.0002
n16_graph0,16,0.2,0.2,5.0,naive,4,136.000000,136.000000,2.089832e-16,1.680186e-04,0.0018
n16_graph0,16,0.2,0.2,5.0,naive,6,136.000000,136.000000,2.089832e-16,2.198120e-06,0.0126
n16_graph0,16,0.2,0.2,5.0,naive,8,136.000000,136.000000,2.089832e-16,3.131332e-08,0.0326
n16_graph0,16,0.2,0.2,5.0,naive,10,136.000000,136.000000,2.089832e-16,4.692464e-10,0.0518
