graph_id,n,h,beta,step,log_Z_running
n16_graph0,16,0.0,0.5,506,23.090355
n16_graph0,16,0.0,0.5,623,23.090355
n16_graph0,16,0.0,0.5,766,23.090355
n16_graph0,16,0.0,0.5,943,23.090355
n16_graph0,16,0.0,0.5,1161,23.090355
n16_graph0,16,0.0,0.5,1428,23.090355
n16_graph0,16,0.0,0.5,1758,23.090355
n16_graph0,16,0.0,0.5,2163,23.090355
n16_graph0,16,0.0,0.5,2662,23.090355
n16_graph0,16,0.0,0.5,3276,22.555215
n16_graph0,16,0.0,0.5,4032,22.588094
n16_graph0,16,0.0,0.5,4961,22.590784
n16_graph0,16,0.0,0.5,6106,22.591947
n16_graph0,16,0.0,0.5,7514,22.596297
n16_graph0,16,0.0,0.5,9247,22.601858
n16_graph0,16,0.0,0.5,11380,22.602832
n16_graph0,16,0.0,0.5,14005,22.604464
n16_graph0,16,0.0,0.5,17235,22.086636
n16_graph0,16,0.0,0.5,21211,22.113415
n16_graph0,16,0.0,0.5,26103,22.125763
n16_graph0,16,0.0,0.5,32124,21.638899
n16_graph0,16,0.0,0.5,39534,21.619462
n16_graph0,16,0.0,0.5,48653,21.097258
n16_graph0,16,0.0,0.5,59875,20.559277
n16_graph0,16,0.0,0.5,73685,19.993349
n16_graph0,16,0.0,0.5,90681,19.397963
n16_graph0,16,0.0,0.5,111597,18.209491
n16_graph0,16,0.0,0.5,137338,16.948239
n16_graph0,16,0.0,0.5,169016,15.760718
n16_graph0,16,0.0,0.5,208000,14.314896
n16_graph0,16,0.0,0.8,1,30.290355
n16_graph0,16,0.0,0.8,2,30.290355
n16_graph0,16,0.0,0.8,3,30.290355
n16_graph0,16,0.0,0.8,4,30.290355
n16_graph0,16,0.0,0.8,5,30.290355
n16_graph0,16,0.0,0.8,6,30.290355
n16_graph0,16,0.0,0.8,8,30.290355
n16_graph0,16,0.0,0.8,10,30.290355
n16_graph0,16,0.0,0.8,12,30.290355
n16_graph0,16,0.0,0.8,15,30.290355
n16_graph0,16,0.0,0.8,18,30.290355
n16_graph0,16,0.0,0.8,22,30.290355
n16_graph0,16,0.0,0.8,28,30.290355
n16_graph0,16,0.0,0.8,34,30.290355
n16_graph0,16,0.0,0.8,42,30.290355
n16_graph0,16,0.0,0.8,52,30.290355
n16_graph0,16,0.0,0.8,63,30.290355
n16_graph0,16,0.0,0.8,78,30.290355
n16_graph0,16,0.0,0.8,96,30.290355
n16_graph0,16,0.0,0.8,118,30.290355
n16_graph0,16,0.0,0.8,146,30.290355
n16_graph0,16,0.0,0.8,179,30.290355
n16_graph0,16,0.0,0.8,221,30.290355
n16_graph0,16,0.0,0.8,271,30.290355
n16_graph0,16,0.0,0.8,334,30.290355
n16_graph0,16,0.0,0.8,411,30.290355
n16_graph0,16,0.0,0.8,506,30.290355
n16_graph0,16,0.0,0.8,623,30.290355
n16_graph0,16,0.0,0.8,766,30.290355
n16_graph0,16,0.0,0.8,943,30.290355
n16_graph0,16,0.0,0.8,1161,30.290355
n16_graph0,16,0.0,0.8,1428,30.290355
n16_graph0,16,0.0,0.8,1758,30.290355
n16_graph0,16,0.0,0.8,2163,30.290355
n16_graph0,16,0.0,0.8,2662,30.290355
n16_graph0,16,0.0,0.8,3276,29.847470
n16_graph0,16,0.0,0.8,4032,29.824290
n16_graph0,16,0.0,0.8,4961,29.803967
n16_graph0,16,0.0,0.8,6106,29.801540
n16_graph0,16,0.0,0.8,7514,29.799171
n16_graph0,16,0.0,0.8,9247,29.795504
n16_graph0,16,0.0,0.8,11380,29.794336
n16_graph0,16,0.0,0.8,14005,29.788977
n16_graph0,16,0.0,0.8,17235,29.279793
n16_graph0,16,0.0,0.8,21211,29.264172
n16_graph0,16,0.0,0.8,26103,29.268500
n16_graph0,16,0.0,0.8,32124,28.713952
n16_graph0,16,0.0,0.8,39534,28.721075
n16_graph0,16,0.0,0.8,48653,28.151705
n16_graph0,16,0.0,0.8,59875,27.560977
n16_graph0,16,0.0,0.8,73685,26.988777
n16_graph0,16,0.0,0.8,90681,26.351640
n16_graph0,16,0.0,0.8,111597,25.049279
n16_graph0,16,0.0,0.8,137338,23.605638
n16_graph0,16,0.0,0.8,169016,21.954460
n16_graph0,16,0.0,0.8,208000,19.729649
n16_graph0,16,0.0,1.0,1,35.090355
n16_graph0,16,0.0,1.0,2,35.090355
n16_graph0,16,0.0,1.0,3,35.090355
n16_graph0,16,0.0,1.0,4,35.090355
n16_graph0,16,0.0,1.0,5,35.090355
n16_graph0,16,0.0,1.0,6,35.090355
n16_graph0,16,0.0,1.0,8,35.090355
n16_graph0,16,0.0,1.0,10,35.090355
n16_graph0,16,0.0,1.0,12,35.090355
n16_graph0,16,0.0,1.0,15,35.090355
n16_graph0,16,0.0,1.0,18,35.090355
n16_graph0,16,0.0,1.0,22,35.090355
n16_graph0,16,0.0,1.0,28,35.090355
n16_graph0,16,0.0,1.0,34,35.090355
n16_graph0,16,0.0,1.0,42,35.090355
n16_graph0,16,0.0,1.0,52,35.090355
n16_graph0,16,0.0,1.0,63,35.090355
n16_graph0,16,0.0,1.0,78,35.090355
n16_graph0,16,0.0,1.0,96,35.090355
n16_graph0,16,0.0,1.0,118,35.090355
n16_graph0,16,0.0,1.0,146,35.090355
n16_graph0,16,0.0,1.0,179,35.090355
n16_graph0,16,0.0,1.0,221,35.090355
n16_graph0,16,0.0,1.0,271,35.090355
n16_graph0,16,0.0,1.0,334,35.090355
n16_graph0,16,0.0,1.0,411,35.090355
n16_graph0,16,0.0,1.0,506,35.090355
n16_graph0,16,0.0,1.0,623,35.090355
n16_graph0,16,0.0,1.0,766,35.090355
n16_graph0,16,0.0,1.0,943,35.090355
n16_graph0,16,0.0,1.0,1161,35.090355
n16_graph0,16,0.0,1.0,1428,35.090355
n16_graph0,16,0.0,1.0,1758,35.090355
n16_graph0,16,0.0,1.0,2163,35.090355
n16_graph0,16,0.0,1.0,2662,35.090355
