graph_id,n,h,beta,step_n_mult,samples_per_segment,n_segments,burnin,total_steps,log_Z,runtime_s
n16_graph0,16,0.0,5.0,20,10000,320,3000,4160000,120.776534,66.2247
n16_graph0,16,0.1,0.1,1,100,16,3000,49600,11.987541,0.5728
n16_graph0,16,0.1,0.1,1,300,16,3000,52800,11.040501,0.6151
n16_graph0,16,0.1,0.1,1,1000,16,3000,64000,11.038489,0.7530
n16_graph0,16,0.1,0.1,1,3000,16,3000,96000,11.173907,1.3494
n16_graph0,16,0.1,0.1,1,10000,16,3000,208000,11.232007,2.8258
n16_graph0,16,0.1,0.1,4,100,64,3000,198400,11.533906,2.3673
n16_graph0,16,0.1,0.1,4,300,64,3000,211200,11.070237,2.6054
n16_graph0,16,0.1,0.1,4,1000,64,3000,256000,11.121570,3.5745
n16_graph0,16,0.1,0.1,4,3000,64,3000,384000,11.223358,5.0813
n16_graph0,16,0.1,0.1,4,10000,64,3000,832000,11.213094,14.6323
n16_graph0,16,0.1,0.1,20,100,317,3000,982700,11.275063,12.6755
n16_graph0,16,0.1,0.1,20,300,317,3000,1046100,11.229846,14.2232
n16_graph0,16,0.1,0.1,20,1000,317,3000,1268000,11.248260,18.1044
n16_graph0,16,0.1,0.1,20,3000,317,3000,1902000,11.159437,28.8194
n16_graph0,16,0.1,0.1,20,10000,317,3000,4121000,11.235518,62.4733
n16_graph0,16,0.1,0.2,1,100,16,3000,49600,10.360496,0.6339
n16_graph0,16,0.1,0.2,1,300,16,3000,52800,9.553334,0.6341
n16_graph0,16,0.1,0.2,1,1000,16,3000,64000,12.011129,0.8311
n16_graph0,16,0.1,0.2,1,3000,16,3000,96000,11.327407,1.7213
n16_graph0,16,0.1,0.2,1,10000,16,3000,208000,11.551193,3.2599
n16_graph0,16,0.1,0.2,4,100,63,3000,195300,11.596378,2.5346
n16_graph0,16,0.1,0.2,4,300,63,3000,207900,11.850097,3.0586
n16_graph0,16,0.1,0.2,4,1000,63,3000,252000,11.681619,3.6533
n16_graph0,16,0.1,0.2,4,3000,63,3000,378000,11.535925,5.4310
