graph_id,n,h,beta,init,dynamics,step,log_z_mcmc
n16_graph0,16,0.0,2.5,ground,metropolis,76,60.528516
n16_graph0,16,0.0,5.0,ground,metropolis,76,120.528516
n16_graph0,16,0.0,0.1,ground,metropolis,85,11.162119
n16_graph0,16,0.0,0.2,ground,metropolis,85,11.692707
n16_graph0,16,0.0,0.3,ground,metropolis,85,12.452707
n16_graph0,16,0.0,0.5,ground,metropolis,85,14.664470
n16_graph0,16,0.0,0.8,ground,metropolis,85,19.955060
n16_graph0,16,0.0,1.0,ground,metropolis,85,24.272710
n16_graph0,16,0.0,1.3,ground,metropolis,85,31.472710
n16_graph0,16,0.0,1.8,ground,metropolis,85,43.472710
n16_graph0,16,0.0,2.5,ground,metropolis,85,60.272710
n16_graph0,16,0.0,5.0,ground,metropolis,85,120.272710
n16_graph0,16,0.0,0.1,ground,metropolis,95,11.168249
n16_graph0,16,0.0,0.2,ground,metropolis,95,11.647196
n16_graph0,16,0.0,0.3,ground,metropolis,95,12.337722
n16_graph0,16,0.0,0.5,ground,metropolis,95,14.602989
n16_graph0,16,0.0,0.8,ground,metropolis,95,19.987209
n16_graph0,16,0.0,1.0,ground,metropolis,95,24.290369
n16_graph0,16,0.0,1.3,ground,metropolis,95,31.490369
n16_graph0,16,0.0,1.8,ground,metropolis,95,43.490369
n16_graph0,16,0.0,2.5,ground,metropolis,95,60.290369
n16_graph0,16,0.0,5.0,ground,metropolis,95,120.290369
n16_graph0,16,0.0,0.1,ground,metropolis,106,11.162053
n16_graph0,16,0.0,0.2,ground,metropolis,106,11.599788
n16_graph0,16,0.0,0.3,ground,metropolis,106,12.247901
n16_graph0,16,0.0,0.5,ground,metropolis,106,14.572432
n16_graph0,16,0.0,0.8,ground,metropolis,106,20.051677
n16_graph0,16,0.0,1.0,ground,metropolis,106,24.344127
n16_graph0,16,0.0,1.3,ground,metropolis,106,31.544127
n16_graph0,16,0.0,1.8,ground,metropolis,106,43.544127
n16_graph0,16,0.0,2.5,ground,metropolis,106,60.344127
n16_graph0,16,0.0,5.0,ground,metropolis,106,120.344127
n16_graph0,16,0.0,0.1,ground,metropolis,118,11.169168
n16_graph0,16,0.0,0.2,ground,metropolis,118,11.614083
n16_graph0,16,0.0,0.3,ground,metropolis,118,12.252219
n16_graph0,16,0.0,0.5,ground,metropolis,118,14.621707
n16_graph0,16,0.0,0.8,ground,metropolis,118,20.184412
n16_graph0,16,0.0,1.0,ground,metropolis,118,24.467462
n16_graph0,16,0.0,1.3,ground,metropolis,118,31.667462
n16_graph0,16,0.0,1.8,ground,metropolis,118,43.667462
n16_graph0,16,0.0,2.5,ground,metropolis,118,60.467462
n16_graph0,16,0.0,5.0,ground,metropolis,118,120.467462
n16_graph0,16,0.0,0.1,ground,metropolis,131,11.181194
n16_graph0,16,0.0,0.2,ground,metropolis,131,11.620125
n16_graph0,16,0.0,0.3,ground,metropolis,131,12.242263
n16_graph0,16,0.0,0.5,ground,metropolis,131,14.672795
n16_graph0,16,0.0,0.8,ground,metropolis,131,20.290355
n16_graph0,16,0.0,1.0,ground,metropolis,131,24.552955
n16_graph0,16,0.0,1.3,ground,metropolis,131,31.752955
n16_graph0,16,0.0,1.8,ground,metropolis,131,43.752955
n16_graph0,16,0.0,2.5,ground,metropolis,131,60.552955
n16_graph0,16,0.0,5.0,ground,metropolis,131,120.552955
n16_graph0,16,0.0,0.1,ground,metropolis,146,11.197204
n16_graph0,16,0.0,0.2,ground,metropolis,146,11.606793
n16_graph0,16,0.0,0.3,ground,metropolis,146,12.178026
n16_graph0,16,0.0,0.5,ground,metropolis,146,14.650632
n16_graph0,16,0.0,0.8,ground,metropolis,146,20.313657
n16_graph0,16,0.0,1.0,ground,metropolis,146,24.553387
n16_graph0,16,0.0,1.3,ground,metropolis,146,31.753387
n16_graph0,16,0.0,1.8,ground,metropolis,146,43.753387
n16_graph0,16,0.0,2.5,ground,metropolis,146,60.553387
n16_graph0,16,0.0,5.0,ground,metropolis,146,120.553387
n16_graph0,16,0.0,0.1,ground,metropolis,163,11.205692
n16_graph0,16,0.0,0.2,ground,metropolis,163,11.657840
n16_graph0,16,0.0,0.3,ground,metropolis,163,12.263975
n16_graph0,16,0.0,0.5,ground,metropolis,163,14.786675
n16_graph0,16,0.0,0.8,ground,metropolis,163,20.582375
n16_graph0,16,0.0,1.0,ground,metropolis,163,24.862125
n16_graph0,16,0.0,1.3,ground,metropolis,163,32.062125
n16_graph0,16,0.0,1.8,ground,metropolis,163,44.062125
n16_graph0,16,0.0,2.5,ground,metropolis,163,60.862125
n16_graph0,16,0.0,5.0,ground,metropolis,163,120.862125
n16_graph0,16,0.0,0.1,ground,metropolis,182,11.229915
n16_graph0,16,0.0,0.2,ground,metropolis,182,11.738707
n16_graph0,16,0.0,0.3,ground,metropolis,182,12.374421
n16_graph0,16,0.0,0.5,ground,metropolis,182,14.862338
n16_graph0,16,0.0,0.8,ground,metropolis,182,20.695868
n16_graph0,16,0.0,1.0,ground,metropolis,182,25.029938
n16_graph0,16,0.0,1.3,ground,metropolis,182,32.229938
n16_graph0,16,0.0,1.8,ground,metropolis,182,44.229938
n16_graph0,16,0.0,2.5,ground,metropolis,182,61.029938
n16_graph0,16,0.0,5.0,ground,metropolis,182,121.029938
n16_graph0,16,0.0,0.1,ground,metropolis,203,11.242079
n16_graph0,16,0.0,0.2,ground,metropolis,203,11.755872
n16_graph0,16,0.0,0.3,ground,metropolis,203,12.389369
n16_graph0,16,0.0,0.5,ground,metropolis,203,14.912526
n16_graph0,16,0.0,0.8,ground,metropolis,203,20.856381
n16_graph0,16,0.0,1.0,ground,metropolis,203,25.238651
n16_graph0,16,0.0,1.3,ground,metropolis,203,32.438651
n16_graph0,16,0.0,1.8,ground,metropolis,203,44.438651
n16_graph0,16,0.0,2.5,ground,metropolis,203,61.238651
n16_graph0,16,0.0,5.0,ground,metropolis,203,121.238651
n16_graph0,16,0.0,0.1,ground,metropolis,226,11.250089
n16_graph0,16,0.0,0.2,ground,metropolis,226,11.746992
n16_graph0,16,0.0,0.3,ground,metropolis,226,12.352744
n16_graph0,16,0.0,0.5,ground,metropolis,226,14.829732
n16_graph0,16,0.0,0.8,ground,metropolis,226,20.776632
n16_graph0,16,0.0,1.0,ground,metropolis,226,25.201412
n16_graph0,16,0.0,1.3,ground,metropolis,226,32.401412
n16_graph0,16,0.0,1.8,ground,metropolis,226,44.401412
n16_graph0,16,0.0,2.5,ground,metropolis,226,61.201412
n16_graph0,16,0.0,5.0,ground,metropolis,226,121.201412
n16_graph0,16,0.0,0.1,ground,metropolis,252,11.235990
n16_graph0,16,0.0,0.2,ground,metropolis,252,11.714164
n16_graph0,16,0.0,0.3,ground,metropolis,252,12.331228
n16_graph0,16,0.0,0.5,ground,metropolis,252,14.774876
n16_graph0,16,0.0,0.8,ground,metropolis,252,20.682011
n16_graph0,16,0.0,1.0,ground,metropolis,252,25.145501
n16_graph0,16,0.0,1.3,ground,metropolis,252,32.345501
n16_graph0,16,0.0,1.8,ground,metropolis,252,44.345501
n16_graph0,16,0.0,2.5,ground,metropolis,252,61.145501
n16_graph0,16,0.0,5.0,ground,metropolis,252,121.145501
n16_graph0,16,0.0,0.1,ground,metropolis,281,11.231280
n16_graph0,16,0.0,0.2,ground,metropolis,281,11.701743
n16_graph0,16,0.0,0.3,ground,metropolis,281,12.298541
n16_graph0,16,0.0,0.5,ground,metropolis,281,14.603881
n16_graph0,16,0.0,0.8,ground,metropolis,281,20.407441
n16_graph0,16,0.0,1.0,ground,metropolis,281,24.905661
n16_graph0,16,0.0,1.3,ground,metropolis,281,32.105661
n16_graph0,16,0.0,1.8,ground,metropolis,281,44.105661
n16_graph0,16,0.0,2.5,ground,metropolis,281,60.905661
n16_graph0,16,0.0,5.0,ground,metropolis,281,120.905661
n16_graph0,16,0.0,0.1,ground,metropolis,313,11.227415
n16_graph0,16,0.0,0.2,ground,metropolis,313,11.690035
n16_graph0,16,0.0,0.3,ground,metropolis,313,12.298661
n16_graph0,16,0.0,0.5,ground,metropolis,313,14.508885
n16_graph0,16,0.0,0.8,ground,metropolis,313,20.108250
n16_graph0,16,0.0,1.0,ground,metropolis,313,24.597070
n16_graph0,16,0.0,1.3,ground,metropolis,313,31.797070
n16_graph0,16,0.0,1.8,ground,metropolis,313,43.797070
n16_graph0,16,0.0,2.5,ground,metropolis,313,60.597070
n16_graph0,16,0.0,5.0,ground,metropolis,313,120.597070
n16_graph0,16,0.0,0.1,ground,metropolis,348,11.230872
n16_graph0,16,0.0,0.2,ground,metropolis,348,11.678860
n16_graph0,16,0.0,0.3,ground,metropolis,348,12.291504
n16_graph0,16,0.0,0.5,ground,metropolis,348,14.429439
n16_graph0,16,0.0,0.8,ground,metropolis,348,19.884624
n16_graph0,16,0.0,1.0,ground,metropolis,348,24.393824
n16_graph0,16,0.0,1.3,ground,metropolis,348,31.593824
n16_graph0,16,0.0,1.8,ground,metropolis,348,43.593824
n16_graph0,16,0.0,2.5,ground,metropolis,348,60.393824
n16_graph0,16,0.0,5.0,ground,metropolis,348,120.393824
n16_graph0,16,0.0,0.1,ground,metropolis,388,11.244994
n16_graph0,16,0.0,0.2,ground,metropolis,388,11.685457
n16_graph0,16,0.0,0.3,ground,metropolis,388,12.259168
n16_graph0,16,0.0,0.5,ground,metropolis,388,14.256591
