graph_id,n,h,init,dynamics,beta,step,log_Z
n16_graph0,16,0.0,ground,glauber,0.2,12740,11.588889
n16_graph0,16,0.0,ground,glauber,0.2,19215,11.571711
n16_graph0,16,0.0,ground,glauber,0.2,28983,11.590745
n16_graph0,16,0.0,ground,glauber,0.2,43715,11.574228
n16_graph0,16,0.0,ground,glauber,0.2,65935,11.583715
n16_graph0,16,0.0,ground,glauber,0.2,99450,11.579972
n16_graph0,16,0.0,ground,glauber,0.2,150000,11.578802
n16_graph0,16,0.0,ground,glauber,0.3,1,12.690355
n16_graph0,16,0.0,ground,glauber,0.3,2,12.690355
n16_graph0,16,0.0,ground,glauber,0.3,3,12.565704
n16_graph0,16,0.0,ground,glauber,0.3,5,12.566869
n16_graph0,16,0.0,ground,glauber,0.3,7,12.865716
n16_graph0,16,0.0,ground,glauber,0.3,11,13.032746
n16_graph0,16,0.0,ground,glauber,0.3,17,12.853210
n16_graph0,16,0.0,ground,glauber,0.3,26,12.588952
n16_graph0,16,0.0,ground,glauber,0.3,40,12.469377
n16_graph0,16,0.0,ground,glauber,0.3,60,12.425642
n16_graph0,16,0.0,ground,glauber,0.3,91,12.505673
n16_graph0,16,0.0,ground,glauber,0.3,138,12.373781
n16_graph0,16,0.0,ground,glauber,0.3,209,12.226828
n16_graph0,16,0.0,ground,glauber,0.3,315,12.187321
n16_graph0,16,0.0,ground,glauber,0.3,475,12.141330
n16_graph0,16,0.0,ground,glauber,0.3,717,12.059820
n16_graph0,16,0.0,ground,glauber,0.3,1082,12.146372
n16_graph0,16,0.0,ground,glauber,0.3,1632,12.190850
n16_graph0,16,0.0,ground,glauber,0.3,2461,12.220177
n16_graph0,16,0.0,ground,glauber,0.3,3712,12.270861
n16_graph0,16,0.0,ground,glauber,0.3,5600,12.230286
n16_graph0,16,0.0,ground,glauber,0.3,8446,12.241458
n16_graph0,16,0.0,ground,glauber,0.3,12740,12.234902
n16_graph0,16,0.0,ground,glauber,0.3,19215,12.200679
n16_graph0,16,0.0,ground,glauber,0.3,28983,12.224058
n16_graph0,16,0.0,ground,glauber,0.3,43715,12.208695
n16_graph0,16,0.0,ground,glauber,0.3,65935,12.218741
n16_graph0,16,0.0,ground,glauber,0.3,99450,12.217507
n16_graph0,16,0.0,ground,glauber,0.3,150000,12.208507
n16_graph0,16,0.0,ground,glauber,0.5,1,13.090355
n16_graph0,16,0.0,ground,glauber,0.5,2,12.910223
n16_graph0,16,0.0,ground,glauber,0.5,3,12.717516
n16_graph0,16,0.0,ground,glauber,0.5,5,12.485978
n16_graph0,16,0.0,ground,glauber,0.5,7,12.799672
n16_graph0,16,0.0,ground,glauber,0.5,11,12.991226
n16_graph0,16,0.0,ground,glauber,0.5,17,12.699273
n16_graph0,16,0.0,ground,glauber,0.5,26,12.561341
n16_graph0,16,0.0,ground,glauber,0.5,40,13.397585
n16_graph0,16,0.0,ground,glauber,0.5,60,14.746421
n16_graph0,16,0.0,ground,glauber,0.5,91,15.316910
n16_graph0,16,0.0,ground,glauber,0.5,138,14.835650
n16_graph0,16,0.0,ground,glauber,0.5,209,14.410409
n16_graph0,16,0.0,ground,glauber,0.5,315,14.264205
n16_graph0,16,0.0,ground,glauber,0.5,475,13.958413
n16_graph0,16,0.0,ground,glauber,0.5,717,13.858903
n16_graph0,16,0.0,ground,glauber,0.5,1082,14.089914
n16_graph0,16,0.0,ground,glauber,0.5,1632,14.134616
n16_graph0,16,0.0,ground,glauber,0.5,2461,14.093092
n16_graph0,16,0.0,ground,glauber,0.5,3712,14.181764
n16_graph0,16,0.0,ground,glauber,0.5,5600,14.124150
n16_graph0,16,0.0,ground,glauber,0.5,8446,14.253022
n16_graph0,16,0.0,ground,glauber,0.5,12740,14.410383
n16_graph0,16,0.0,ground,glauber,0.5,19215,14.356343
n16_graph0,16,0.0,ground,glauber,0.5,28983,14.430182
n16_graph0,16,0.0,ground,glauber,0.5,43715,14.353755
n16_graph0,16,0.0,ground,glauber,0.5,65935,14.342429
n16_graph0,16,0.0,ground,glauber,0.5,99450,14.346757
n16_graph0,16,0.0,ground,glauber,0.5,150000,14.388139
n16_graph0,16,0.0,ground,glauber,0.8,1,18.490355
n16_graph0,16,0.0,ground,glauber,0.8,2,18.310223
n16_graph0,16,0.0,ground,glauber,0.8,3,17.954531
n16_graph0,16,0.0,ground,glauber,0.8,5,17.686947
n16_graph0,16,0.0,ground,glauber,0.8,7,18.061660
n16_graph0,16,0.0,ground,glauber,0.8,11,18.305631
n16_graph0,16,0.0,ground,glauber,0.8,17,18.044731
n16_graph0,16,0.0,ground,glauber,0.8,26,17.889400
n16_graph0,16,0.0,ground,glauber,0.8,40,19.472981
n16_graph0,16,0.0,ground,glauber,0.8,60,21.348319
n16_graph0,16,0.0,ground,glauber,0.8,91,22.027702
n16_graph0,16,0.0,ground,glauber,0.8,138,21.165430
n16_graph0,16,0.0,ground,glauber,0.8,209,20.376985
n16_graph0,16,0.0,ground,glauber,0.8,315,20.469390
n16_graph0,16,0.0,ground,glauber,0.8,475,20.379674
n16_graph0,16,0.0,ground,glauber,0.8,717,20.021061
n16_graph0,16,0.0,ground,glauber,0.8,1082,19.949984
n16_graph0,16,0.0,ground,glauber,0.8,1632,20.280415
n16_graph0,16,0.0,ground,glauber,0.8,2461,20.082601
n16_graph0,16,0.0,ground,glauber,0.8,3712,19.875055
n16_graph0,16,0.0,ground,glauber,0.8,5600,19.949961
n16_graph0,16,0.0,ground,glauber,0.8,8446,19.974905
n16_graph0,16,0.0,ground,glauber,0.8,12740,20.218906
n16_graph0,16,0.0,ground,glauber,0.8,19215,20.151924
n16_graph0,16,0.0,ground,glauber,0.8,28983,20.178348
n16_graph0,16,0.0,ground,glauber,0.8,43715,20.057532
n16_graph0,16,0.0,ground,glauber,0.8,65935,20.080285
